"","X.1","source","X","Y","TreeID99","Status99","Notes99","DBH99","TreeID13","Status13","Notes13","DBH13","uid","dbh.delta"
"52",52,"Red-Tail Ridge",178.791742025575,69.7074098174676,975,"L",NA,6,975,"D","Dead",NA,52,NA
"53",53,"Red-Tail Ridge",99.6888697509005,148.898527055264,979,"L","dead top",6,979,"D",NA,NA,53,NA
"54",54,"Red-Tail Ridge",-31.3083027253661,32.8778068072801,917,"L",NA,6,917,"L","Deep, large catface with char, approx 4.5 ft high",9,54,3
"55",55,"Red-Tail Ridge",-12.2142570378826,-9.54263721476062,923,"L",NA,6,923,"L","Forked at approx 1/2",9,55,3
"56",56,"Red-Tail Ridge",46.9181559513311,-67.0069148829177,949,"L",NA,6,949,"L","Very low crown, almost overtopped by hickory & other pine",8,56,2
"57",57,"Red-Tail Ridge",340.387102588136,25.3338471213397,528,"L",NA,6,528,"L",NA,9,57,3
"58",58,"Red-Tail Ridge",141.418633813651,-7.16449651270574,643,"L",NA,6,643,"L",NA,7,58,1
"59",59,"Red-Tail Ridge",117.499738653726,151.291356488353,911,"L",NA,6,911,"L","Scar",6,59,0
"60",60,"Red-Tail Ridge",-63.6972839103056,-61.2961338295486,962,"L",NA,6,962,NA,NA,NA,60,NA
"61",61,"Red-Tail Ridge",442.87478205304,172.857823379448,701,"L",NA,6,701,"D",NA,NA,61,NA
"62",62,"Red-Tail Ridge",-82.4770855068537,174.029794223716,732,"L",NA,6,732,"D",NA,NA,62,NA
"63",63,"Red-Tail Ridge",167.035929697081,53.6030118891181,652,"L",NA,6,652,"L",NA,9,63,3
"64",64,"Red-Tail Ridge",95.4136769362669,-84.1193809624256,669,"L",NA,6,669,"L",NA,6,64,0
"65",65,"Red-Tail Ridge",47.1507251451438,103.462549351382,788,"L",NA,6,788,"L",NA,8,65,2
"66",66,"Red-Tail Ridge",56.3667606319666,83.5669090959967,956,"L",NA,6,956,"L","Dead top, leaning significantly; NOTE: 08 DBH rounded from 6.1",6,66,0
"67",67,"Red-Tail Ridge",223.775648705156,-64.516244859952,628,"L",NA,6,628,"D","Dead, fallen",NA,67,NA
"68",68,"Red-Tail Ridge",131.15502821031,-3.43490540665783,645,"L",NA,6,645,"D",NA,NA,68,NA
"69",69,"Red-Tail Ridge",101.249377310542,205.514216450304,688,"L",NA,6,688,"D","Confirmed dead",NA,69,NA
"70",70,"Red-Tail Ridge",133.615563705183,169.746363287792,543,"L",NA,6,543,"L","Scar",8,70,2
"71",71,"Red-Tail Ridge",188.067578635841,-22.4264546028089,568,"L",NA,6,568,"L","scarring",8,71,2
"72",72,"Red-Tail Ridge",147.565459208325,-39.2648092907148,587,"L",NA,6,587,"L",NA,7,72,1
"73",73,"Red-Tail Ridge",153.488636629408,206.204908770534,547,"L","In old road",7,547,"L",NA,10,73,3
"74",74,"Red-Tail Ridge",286.446307264504,85.6356162594974,530,"D","ON OLD ROAD -BENT OVER; dead",7,530,"D",NA,NA,74,NA
"75",75,"Red-Tail Ridge",51.7008856716602,225.605911759897,761,"L",NA,7,761,"D","Dead, broken",NA,75,NA
"76",76,"Red-Tail Ridge",99.8499104362392,-94.0948212489667,665,"L","split top",7,665,"L","Near road edge",9,76,2
"77",77,"Red-Tail Ridge",-122.401717799611,196.232413672146,710,"L",NA,7,710,"L",NA,16,77,9
"78",78,"Red-Tail Ridge",57.6444368333691,-72.4698482278231,874,"L",NA,7,874,"L","Damage",10,78,3
"79",79,"Red-Tail Ridge",303.790337682329,183.564371155002,969,"L",NA,7,969,"L","Scarring",8,79,1
"80",80,"Red-Tail Ridge",97.3550475711322,206.476337785054,687,"L",NA,7,687,"D","Dead",NA,80,NA
"81",81,"Red-Tail Ridge",94.887702447855,147.024199152147,983,"L",NA,7,983,"D","Broken at base, dying?",8,81,1
"82",82,"Red-Tail Ridge",211.916325323381,-9.72878100237207,580,"L",NA,7,580,"L",NA,8,82,1
"83",83,"Red-Tail Ridge",-2.72324446431104,188.826481364789,798,"L",NA,7,798,"L",NA,14,83,7
"84",84,"Red-Tail Ridge",53.7284011521885,-100.20453537455,869,"L","dead top",7,869,"L",NA,12,84,5
"85",85,"Red-Tail Ridge",77.5060170720431,153.43541741602,985,"L",NA,7,985,"L",NA,7,85,0
"86",86,"Red-Tail Ridge",122.036320695466,153.632719509934,904,"L",NA,7,904,"D","Dead, crushed by fallen hardwood; hardwood fell on top of 980, possible cause of death?",NA,86,NA
"87",87,"Red-Tail Ridge",128.127062148883,129.380782063373,646,"L",NA,7,646,"L","Growing into crown of hickory",11,87,4
"88",88,"Red-Tail Ridge",39.5519767390234,239.356478727364,746,"L",NA,7,746,"L","Scarring; Remeasure bumped DBH13 from 7.7",8,88,1
"89",89,"Red-Tail Ridge",46.4512667800957,241.902371476466,750,"L",NA,7,750,"L",NA,8,89,1
"90",90,"Red-Tail Ridge",42.513444118448,-107.928712904341,860,"L",NA,7,860,"L",NA,11,90,4
"91",91,"Red-Tail Ridge",50.4454841842639,-85.299842470049,871,"L",NA,7,871,"L",NA,12,91,5
"92",92,"Red-Tail Ridge",-206.986699900899,204.106230011512,713,"L",NA,8,713,"L",NA,13,92,5
"93",93,"Red-Tail Ridge",-142.520069285191,212.253310877304,831,"L",NA,8,831,"L","Fire scar at base",9,93,1
"94",94,"Red-Tail Ridge",122.195729107225,150.97821330163,905,"L",NA,8,905,"L",NA,9,94,1
"95",95,"Red-Tail Ridge",56.7072384731895,-70.530412622817,938,"L",NA,8,938,"L",NA,10,95,2
"96",96,"Red-Tail Ridge",215.341000382122,192.064071739722,895,"L",NA,9,895,"L","Major scarring",9,96,0
"97",97,"Red-Tail Ridge",132.967407573992,127.862782879068,639,"L",NA,8,639,"L",NA,13,97,5
"98",98,"Red-Tail Ridge",41.3702943292925,128.084576538738,793,"L",NA,8,793,"L",NA,13,98,5
"99",99,"Red-Tail Ridge",-63.4441782800395,34.8797397119096,846,"L",NA,8,846,"L",NA,14,99,6
"100",100,"Red-Tail Ridge",67.4551755841494,-68.1660420364244,935,"L",NA,8,935,"L",NA,12,100,4
"101",101,"Red-Tail Ridge",52.3015890431752,-85.3495974422775,946,"L",NA,8,946,"L",NA,11,101,3
"102",102,"Red-Tail Ridge",137.979768816914,9.4060298336172,957,"L",NA,8,957,"L","Damage",14,102,6
"103",103,"Red-Tail Ridge",93.4533362287188,148.697726963807,982,"L","dead top",8,982,"L","Dying, broken at base",8,103,0
"104",104,"Red-Tail Ridge",200.553603707712,36.8224998350933,578,"L",NA,8,578,"D","Dead, scarring",NA,104,NA
"105",105,"Red-Tail Ridge",56.4110753701964,219.829953826276,764,"L",NA,8,764,"D",NA,NA,105,NA
"106",106,"Red-Tail Ridge",81.2102700424126,158.305742494484,800,"L",NA,8,800,"D","Dead, no scarring",NA,106,NA
"107",107,"Red-Tail Ridge",143.103844813139,5.24686570220094,637,"L",NA,8,637,"L",NA,14,107,6
"108",108,"Red-Tail Ridge",-178.602432291911,112.910855011436,725,"L",NA,8,725,"L","Almost in road, trunk is very curved at base",13,108,5
"109",109,"Red-Tail Ridge",-43.3221595152418,82.5192734755702,783,"L",NA,8,783,"L","Fire scar",9,109,1
"110",110,"Red-Tail Ridge",73.2592459284013,-48.9267885152786,539,"L",NA,8,539,"D",NA,NA,110,NA
"111",111,"Red-Tail Ridge",101.461953566826,26.2395117790555,974,"L","leaner (so only about 5 ft tall)",8,974,"D",NA,NA,111,NA
"112",112,"Red-Tail Ridge",214.431992133874,114.296215126541,533,"L","4 PACES DOWNSLOPE FROM ROAD",8,533,"L",NA,11,112,3
"113",113,"Red-Tail Ridge",214.135934271407,-68.8682693179746,631,"L",NA,8,631,"L","Growing close to/in crown of oak",12,113,4
"114",114,"Red-Tail Ridge",105.417656144951,207.123203057693,691,"L",NA,8,691,"L","Scarring",10,114,2
"115",115,"Red-Tail Ridge",280.039673946543,145.178152932514,882,"L",NA,8,882,"L",NA,10,115,2
"116",116,"Red-Tail Ridge",14.7897155709737,-5.5591648050493,931,"L",NA,8,931,"L","Eating tag",13,116,5
"117",117,"Red-Tail Ridge",318.053976675128,94.1640881160436,520,"L",NA,9,520,"L",NA,13,117,4
"118",118,"Red-Tail Ridge",199.513866647566,31.674010158183,574,"L",NA,9,574,"L","Scar",10,118,1
"119",119,"Red-Tail Ridge",104.702373357372,204.942536207005,693,"L",NA,9,693,"L","scarring",9,119,0
"120",120,"Red-Tail Ridge",-43.3170551697621,82.8606223209782,782,"L",NA,9,782,"L","Fire scar; top ~5 ft is dead",10,120,1
"121",121,"Red-Tail Ridge",-139.187177327849,212.7004230924,832,"L",NA,9,832,"L",NA,10,121,1
"122",122,"Red-Tail Ridge",99.4347488154625,-17.7124455681841,571,"L",NA,9,571,"L","Forked at approx 15 ft",12,124,3
"123",123,"Red-Tail Ridge",124.936562421657,171.093384594748,902,"L",NA,9,902,"L",NA,11,125,2
"124",124,"Red-Tail Ridge",123.509084492716,149.04479056963,906,"L",NA,9,906,"L",NA,11,126,2
"125",125,"Red-Tail Ridge",-8.10047242853434,-5.86364617235343,922,"L",NA,9,922,"L","Fire scar at base",15,127,6
"126",126,"Red-Tail Ridge",-5.19328069859574,-8.31082640810124,924,"L",NA,9,924,"L","Deep scar, starts at approx 3.5 ft and extends approx 5 ft up bole",13,128,4
"127",127,"Red-Tail Ridge",94.788197572041,153.48964970938,981,"L","dead top",9,981,"D",NA,NA,129,NA
"128",128,"Red-Tail Ridge",317.787436381113,95.7697888449009,519,"L",NA,9,519,"L",NA,14,130,5
"129",129,"Red-Tail Ridge",-47.4616405889303,9.48433827988025,918,"L",NA,9,2101,"L","PREVIOUSLY tag #918",17,131,8
"130",130,"Red-Tail Ridge",-162.070320874092,145.590679130844,722,"L",NA,10,722,"L","Fire scar",16,132,6
"131",131,"Red-Tail Ridge",-212.483150810036,189.807817864438,716,"L",NA,10,716,NA,"Not found according to where mapped, possibly dead",NA,133,NA
"132",132,"Red-Tail Ridge",214.316046889759,-12.804560904597,579,"L",NA,10,579,"L",NA,16,134,6
"133",133,"Red-Tail Ridge",89.8040191464597,69.4081273709521,654,"L",NA,10,654,"L","Damage",14,135,4
"134",134,"Red-Tail Ridge",208.067546876474,222.776714927983,695,"L",NA,10,695,"L",NA,11,136,1
"135",135,"Red-Tail Ridge",-116.426001689881,74.4595603700957,916,"L",NA,10,916,"L",NA,14,138,4
"136",136,"Red-Tail Ridge",140.29085076835,-9.31864747120908,642,"L",NA,10,642,"L","Catface; curved trunk",15,139,5
"137",137,"Red-Tail Ridge",142.674761516658,5.97933325420345,648,"L",NA,10,648,"L","Right next to 637",14,140,4
"138",138,"Red-Tail Ridge",75.7015882731721,158.000979531518,994,"L",NA,10,994,"L",NA,11,141,1
"139",139,"Red-Tail Ridge",445.457205139364,-20.1647143962536,623,"L",NA,10,623,"L","Sickly, overtopped by adjacent hickory; the crown appears deformed",16,142,6
"140",140,"Red-Tail Ridge",414.719202262832,-11.1712550440095,625,"L",NA,10,625,"L","Tag damaged; sickly, overtopped by adjacent oak",14,143,4
"141",141,"Red-Tail Ridge",93.7838084163374,220.774900817743,685,"L",NA,10,685,"L",NA,13,144,3
"142",142,"Red-Tail Ridge",-83.5612176763126,19.9081114235354,848,"L",NA,10,848,"L",NA,17,145,7
"143",143,"Red-Tail Ridge",-150.792263349792,208.314270112856,835,"L",NA,11,835,"L",NA,13,146,2
"144",144,"Red-Tail Ridge",214.260710259913,183.868197808518,891,"L",NA,11,891,"L","Damage?",12,147,1
"145",145,"Red-Tail Ridge",85.1742316910179,154.930920915887,990,"L",NA,11,990,"L","Scarring",11,148,0
"146",146,"Red-Tail Ridge",46.0947581717542,63.9117615864835,954,"L",NA,11,954,"L","Scar",11,149,0
"147",147,"Red-Tail Ridge",363.940683737393,63.9738041826758,517,"L",NA,11,517,"L",NA,14,150,3
"148",148,"Red-Tail Ridge",317.033364251266,92.3275937897872,521,"L",NA,11,521,"L",NA,16,151,5
"149",149,"Red-Tail Ridge",136.589799317004,-1.66934793873907,640,"L",NA,11,640,"L","Catface",14,152,3
"150",150,"Red-Tail Ridge",134.85626091283,124.00928199029,653,"L",NA,11,653,"L",NA,16,153,5
"151",151,"Red-Tail Ridge",67.767534640225,171.01471730864,698,"L",NA,11,698,"L",NA,18,154,7
"152",152,"Red-Tail Ridge",122.595387450453,172.359220210548,901,"L",NA,11,901,"L",NA,12,155,1
"153",153,"Red-Tail Ridge",119.60878596609,156.916271544878,903,"L",NA,11,903,"L",NA,12,156,1
"154",154,"Red-Tail Ridge",89.5972802836068,190.095463344837,996,"L",NA,11,996,"L",NA,16,157,5
"155",155,"Red-Tail Ridge",216.742426829542,199.03875708534,900,"D","BASAL SCAR; MALFORMED; dead 99",11,900,"D",NA,NA,158,NA
"156",156,"Red-Tail Ridge",215.543069285895,109.225354938568,532,"L","4 PACES DOWNSLOPE FROM ROAD",11,532,"L",NA,17,159,6
"157",157,"Red-Tail Ridge",98.9062893211803,-91.5892238896857,666,"L",NA,11,666,"L","Scarring; near road edge",16,160,5
"158",158,"Red-Tail Ridge",30.0218601186938,281.899013959912,806,"L",NA,11,806,"L",NA,17,161,6
"159",159,"Red-Tail Ridge",237.435855521823,155.414844775921,887,"L",NA,11,887,"L",NA,13,162,2
"160",160,"Red-Tail Ridge",81.030965891981,152.396661927395,992,"L",NA,11,992,"L",NA,12,163,1
"161",161,"Red-Tail Ridge",109.986514545862,193.567851506472,997,"L",NA,11,997,"L","Tree is eating tag, but pretty sure number is correct",17,164,6
"162",162,"Red-Tail Ridge",96.5394112788259,208.125273374155,689,"L",NA,11,689,"L","Remeasure confirms 13 DBH as 11.4",11,165,0
"163",163,"Red-Tail Ridge",108.477923572243,209.932886097863,692,"L","Extensive heartrot; >10yrs but can't read rings",12,692,"L","Scarring",16,166,4
"164",164,"Red-Tail Ridge",184.76648780118,95.1246373876387,972,"L","dead top",12,972,"L",NA,16,167,4
"165",165,"Red-Tail Ridge",165.895700126628,39.4931405607778,582,"L",NA,12,582,"L",NA,18,168,6
"166",166,"Red-Tail Ridge",105.575710866548,204.707014620546,690,"L",NA,12,690,"L",NA,15,169,3
"167",167,"Red-Tail Ridge",56.7054726561549,197.444089630294,769,"L","Dead top",12,769,"L",NA,15,170,3
