"","source","X","Y","TreeID","Year","Status","DBH","Notes"
"74","Red-Tail Ridge",286.446307264504,85.6356162594974,530,1999,"D",7,"ON OLD ROAD -BENT OVER; dead"
"75","Red-Tail Ridge",51.7008856716602,225.605911759897,761,1999,"L",7,NA
"76","Red-Tail Ridge",99.8499104362392,-94.0948212489667,665,1999,"L",7,"split top"
"77","Red-Tail Ridge",-122.401717799611,196.232413672146,710,1999,"L",7,NA
"78","Red-Tail Ridge",57.6444368333691,-72.4698482278231,874,1999,"L",7,NA
"79","Red-Tail Ridge",303.790337682329,183.564371155002,969,1999,"L",7,NA
"80","Red-Tail Ridge",97.3550475711322,206.476337785054,687,1999,"L",7,NA
"81","Red-Tail Ridge",94.887702447855,147.024199152147,983,1999,"L",7,NA
"82","Red-Tail Ridge",211.916325323381,-9.72878100237207,580,1999,"L",7,NA
"83","Red-Tail Ridge",-2.72324446431104,188.826481364789,798,1999,"L",7,NA
"84","Red-Tail Ridge",53.7284011521885,-100.20453537455,869,1999,"L",7,"dead top"
"85","Red-Tail Ridge",77.5060170720431,153.43541741602,985,1999,"L",7,NA
"86","Red-Tail Ridge",122.036320695466,153.632719509934,904,1999,"L",7,NA
"87","Red-Tail Ridge",128.127062148883,129.380782063373,646,1999,"L",7,NA
"88","Red-Tail Ridge",39.5519767390234,239.356478727364,746,1999,"L",7,NA
"89","Red-Tail Ridge",46.4512667800957,241.902371476466,750,1999,"L",7,NA
"90","Red-Tail Ridge",42.513444118448,-107.928712904341,860,1999,"L",7,NA
"91","Red-Tail Ridge",50.4454841842639,-85.299842470049,871,1999,"L",7,NA
"92","Red-Tail Ridge",-206.986699900899,204.106230011512,713,1999,"L",8,NA
"93","Red-Tail Ridge",-142.520069285191,212.253310877304,831,1999,"L",8,NA
"94","Red-Tail Ridge",122.195729107225,150.97821330163,905,1999,"L",8,NA
"95","Red-Tail Ridge",56.7072384731895,-70.530412622817,938,1999,"L",8,NA
"96","Red-Tail Ridge",215.341000382122,192.064071739722,895,1999,"L",9,NA
"97","Red-Tail Ridge",132.967407573992,127.862782879068,639,1999,"L",8,NA
"98","Red-Tail Ridge",41.3702943292925,128.084576538738,793,1999,"L",8,NA
"99","Red-Tail Ridge",-63.4441782800395,34.8797397119096,846,1999,"L",8,NA
"100","Red-Tail Ridge",67.4551755841494,-68.1660420364244,935,1999,"L",8,NA
"101","Red-Tail Ridge",52.3015890431752,-85.3495974422775,946,1999,"L",8,NA
"102","Red-Tail Ridge",137.979768816914,9.4060298336172,957,1999,"L",8,NA
"103","Red-Tail Ridge",93.4533362287188,148.697726963807,982,1999,"L",8,"dead top"
"104","Red-Tail Ridge",200.553603707712,36.8224998350933,578,1999,"L",8,NA
"105","Red-Tail Ridge",56.4110753701964,219.829953826276,764,1999,"L",8,NA
"106","Red-Tail Ridge",81.2102700424126,158.305742494484,800,1999,"L",8,NA
"107","Red-Tail Ridge",143.103844813139,5.24686570220094,637,1999,"L",8,NA
"108","Red-Tail Ridge",-178.602432291911,112.910855011436,725,1999,"L",8,NA
"109","Red-Tail Ridge",-43.3221595152418,82.5192734755702,783,1999,"L",8,NA
"110","Red-Tail Ridge",73.2592459284013,-48.9267885152786,539,1999,"L",8,NA
"111","Red-Tail Ridge",101.461953566826,26.2395117790555,974,1999,"L",8,"leaner (so only about 5 ft tall)"
"112","Red-Tail Ridge",214.431992133874,114.296215126541,533,1999,"L",8,"4 PACES DOWNSLOPE FROM ROAD"
"113","Red-Tail Ridge",214.135934271407,-68.8682693179746,631,1999,"L",8,NA
"114","Red-Tail Ridge",105.417656144951,207.123203057693,691,1999,"L",8,NA
"115","Red-Tail Ridge",280.039673946543,145.178152932514,882,1999,"L",8,NA
"116","Red-Tail Ridge",14.7897155709737,-5.5591648050493,931,1999,"L",8,NA
"117","Red-Tail Ridge",318.053976675128,94.1640881160436,520,1999,"L",9,NA
"118","Red-Tail Ridge",199.513866647566,31.674010158183,574,1999,"L",9,NA
"119","Red-Tail Ridge",104.702373357372,204.942536207005,693,1999,"L",9,NA
"120","Red-Tail Ridge",-43.3170551697621,82.8606223209782,782,1999,"L",9,NA
"121","Red-Tail Ridge",-139.187177327849,212.7004230924,832,1999,"L",9,NA
"122","Red-Tail Ridge",86.4172918194481,148.011911617095,984,1999,"L",9,NA
"123","Red-Tail Ridge",213.913695039331,190.649161459843,894,1999,"L",12,NA
"124","Red-Tail Ridge",99.4347488154625,-17.7124455681841,571,1999,"L",9,NA
"125","Red-Tail Ridge",124.936562421657,171.093384594748,902,1999,"L",9,NA
"126","Red-Tail Ridge",123.509084492716,149.04479056963,906,1999,"L",9,NA
"127","Red-Tail Ridge",-8.10047242853434,-5.86364617235343,922,1999,"L",9,NA
"128","Red-Tail Ridge",-5.19328069859574,-8.31082640810124,924,1999,"L",9,NA
"129","Red-Tail Ridge",94.788197572041,153.48964970938,981,1999,"L",9,"dead top"
"130","Red-Tail Ridge",317.787436381113,95.7697888449009,519,1999,"L",9,NA
"131","Red-Tail Ridge",-47.4616405889303,9.48433827988025,918,1999,"L",9,NA
"132","Red-Tail Ridge",-162.070320874092,145.590679130844,722,1999,"L",10,NA
"133","Red-Tail Ridge",-212.483150810036,189.807817864438,716,1999,"L",10,NA
"134","Red-Tail Ridge",214.316046889759,-12.804560904597,579,1999,"L",10,NA
"135","Red-Tail Ridge",89.8040191464597,69.4081273709521,654,1999,"L",10,NA
"136","Red-Tail Ridge",208.067546876474,222.776714927983,695,1999,"L",10,NA
"137","Red-Tail Ridge",-116.426001689881,74.4595603700957,916,1999,"L",10,NA
"138","Red-Tail Ridge",140.29085076835,-9.31864747120908,642,1999,"L",10,NA
"139","Red-Tail Ridge",142.674761516658,5.97933325420345,648,1999,"L",10,NA
"140","Red-Tail Ridge",75.7015882731721,158.000979531518,994,1999,"L",10,NA
"141","Red-Tail Ridge",445.457205139364,-20.1647143962536,623,1999,"L",10,NA
"142","Red-Tail Ridge",414.719202262832,-11.1712550440095,625,1999,"L",10,NA
"143","Red-Tail Ridge",93.7838084163374,220.774900817743,685,1999,"L",10,NA
"144","Red-Tail Ridge",-83.5612176763126,19.9081114235354,848,1999,"L",10,NA
"145","Red-Tail Ridge",-150.792263349792,208.314270112856,835,1999,"L",11,NA
"146","Red-Tail Ridge",214.260710259913,183.868197808518,891,1999,"L",11,NA
"147","Red-Tail Ridge",85.1742316910179,154.930920915887,990,1999,"L",11,NA
"148","Red-Tail Ridge",46.0947581717542,63.9117615864835,954,1999,"L",11,NA
"149","Red-Tail Ridge",363.940683737393,63.9738041826758,517,1999,"L",11,NA
"150","Red-Tail Ridge",317.033364251266,92.3275937897872,521,1999,"L",11,NA
"151","Red-Tail Ridge",136.589799317004,-1.66934793873907,640,1999,"L",11,NA
"152","Red-Tail Ridge",134.85626091283,124.00928199029,653,1999,"L",11,NA
"153","Red-Tail Ridge",67.767534640225,171.01471730864,698,1999,"L",11,NA
"154","Red-Tail Ridge",122.595387450453,172.359220210548,901,1999,"L",11,NA
