LID , NP , SHAPE_MN , SHDI , SHEI
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif ,     748.0000 ,       1.5155 ,       1.8059 ,       0.7041
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif ,     748.0000 ,       1.5155 ,       1.8059 ,       0.7041
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif ,     926.0000 ,       1.5347 ,       2.2685 ,       0.7848
