 254   0 254
 253   0 254
 251   0 254
 248   0 254
 243   0 254
 238   0 254
 230   0 254
 222   0 254
 212   0 254
 201   0 254
 189   0 254
 176   0 254
 161   0 254
 144   0 254
 127   0 254
 108   0 254
  88   0 254
  66   0 254
  44   0 254
  20   0 254
   0   5 254
   0  29 254
   0  53 254
   0  75 254
   0  96 254
   0 116 254
   0 134 254
   0 151 254
   0 167 254
   0 181 254
   0 194 254
   0 206 254
   0 217 254
   0 226 254
   0 234 254
   0 240 254
   0 246 254
   0 250 254
   0 252 254
   0 254 254
   0 254 254
   0 254 253
   0 254 250
   0 254 246
   0 254 241
   0 254 235
   0 254 228
   0 254 219
   0 254 208
   0 254 197
   0 254 184
   0 254 170
   0 254 154
   0 254 138
   0 254 120
   0 254 100
   0 254  80
   0 254  58
   0 254  34
   0 254  10
  15 254   0
  39 254   0
  62 254   0
  84 254   0
 104 254   0
 123 254   0
 141 254   0
 158 254   0
 173 254   0
 187 254   0
 199 254   0
 211 254   0
 221 254   0
 229 254   0
 237 254   0
 243 254   0
 248 254   0
 251 254   0
 253 254   0
 254 254   0
 254 254   0
 254 252   0
 254 249   0
 254 245   0
 254 239   0
 254 233   0
 254 224   0
 254 215   0
 254 204   0
 254 192   0
 254 179   0
 254 164   0
 254 148   0
 254 131   0
 254 112   0
 254  92   0
 254  71   0
 254  48   0
 254  25   0
 255   0   0
