"MC","Timestep","ClassCode","CTCode","CTAbbr","SSCode","SSAbbr","Area"
1,17,"235013","5013","ArVth",23,"CLS",27.1
1,17,"233004","3004","JuSwg",23,"CLS",12.2
1,17,"113004","3004","JuSwg",11,"SIW",1.3
1,17,"142025","2025","JuWsi",14,"YMW",7.4
1,17,"152025","2025","JuWsi",15,"OMW",5
1,17,"214021","4021","NaFor",21,"OHB",.1
1,17,"215012","5012","NaPgr",21,"OHB",.1
1,17,"235074","5074","JuNbu",23,"CLS",0
1,18,"211004","1004","GrFrb",21,"OHB",29.5
1,18,"245013","5013","ArVth",24,"OLS",17.9
1,18,"235013","5013","ArVth",23,"CLS",27
1,18,"233004","3004","JuSwg",23,"CLS",12.1
1,18,"113004","3004","JuSwg",11,"SIW",1
1,18,"142025","2025","JuWsi",14,"YMW",7.3
1,18,"152025","2025","JuWsi",15,"OMW",5
1,18,"214021","4021","NaFor",21,"OHB",.1
1,18,"215012","5012","NaPgr",21,"OHB",.1
1,18,"235074","5074","JuNbu",23,"CLS",0
1,19,"211004","1004","GrFrb",21,"OHB",30.6
1,19,"245013","5013","ArVth",24,"OLS",17.9
1,19,"235013","5013","ArVth",23,"CLS",26.5
1,19,"233004","3004","JuSwg",23,"CLS",11.9
1,19,"113004","3004","JuSwg",11,"SIW",.8
1,19,"142025","2025","JuWsi",14,"YMW",7.1
1,19,"152025","2025","JuWsi",15,"OMW",5
1,19,"214021","4021","NaFor",21,"OHB",.1
1,19,"215012","5012","NaPgr",21,"OHB",.1
1,19,"235074","5074","JuNbu",23,"CLS",0
1,20,"211004","1004","GrFrb",21,"OHB",32
1,20,"245013","5013","ArVth",24,"OLS",17.6
1,20,"235013","5013","ArVth",23,"CLS",26.3
1,20,"233004","3004","JuSwg",23,"CLS",.9
1,20,"113004","3004","JuSwg",11,"SIW",11.1
1,20,"142025","2025","JuWsi",14,"YMW",6.9
1,20,"152025","2025","JuWsi",15,"OMW",5
1,20,"214021","4021","NaFor",21,"OHB",.1
1,20,"215012","5012","NaPgr",21,"OHB",.1
1,20,"235074","5074","JuNbu",23,"CLS",0
1,21,"211004","1004","GrFrb",21,"OHB",32.8
1,21,"245013","5013","ArVth",24,"OLS",17.8
1,21,"235013","5013","ArVth",23,"CLS",26.6
1,21,"233004","3004","JuSwg",23,"CLS",.9
1,21,"113004","3004","JuSwg",11,"SIW",9.9
1,21,"142025","2025","JuWsi",14,"YMW",6.8
1,21,"152025","2025","JuWsi",15,"OMW",5
1,21,"214021","4021","NaFor",21,"OHB",.1
1,21,"215012","5012","NaPgr",21,"OHB",.1
1,21,"235074","5074","JuNbu",23,"CLS",0
1,22,"211004","1004","GrFrb",21,"OHB",34.9
1,22,"245013","5013","ArVth",24,"OLS",17.5
1,22,"235013","5013","ArVth",23,"CLS",26.7
1,22,"233004","3004","JuSwg",23,"CLS",.7
1,22,"113004","3004","JuSwg",11,"SIW",8.3
1,22,"142025","2025","JuWsi",14,"YMW",6.6
1,22,"152025","2025","JuWsi",15,"OMW",5
1,22,"214021","4021","NaFor",21,"OHB",.2
1,22,"215012","5012","NaPgr",21,"OHB",.1
1,22,"235074","5074","JuNbu",23,"CLS",0
1,23,"211004","1004","GrFrb",21,"OHB",34.7
1,23,"245013","5013","ArVth",24,"OLS",18.9
1,23,"235013","5013","ArVth",23,"CLS",26.9
1,23,"233004","3004","JuSwg",23,"CLS",.7
1,23,"113004","3004","JuSwg",11,"SIW",7
1,23,"142025","2025","JuWsi",14,"YMW",6.4
1,23,"152025","2025","JuWsi",15,"OMW",5
1,23,"214021","4021","NaFor",21,"OHB",.2
1,23,"215012","5012","NaPgr",21,"OHB",.1
1,23,"235074","5074","JuNbu",23,"CLS",.1
1,24,"211004","1004","GrFrb",21,"OHB",35.6
1,24,"245013","5013","ArVth",24,"OLS",19.4
1,24,"235013","5013","ArVth",23,"CLS",26.6
1,24,"233004","3004","JuSwg",23,"CLS",.8
1,24,"113004","3004","JuSwg",11,"SIW",6.2
1,24,"142025","2025","JuWsi",14,"YMW",5.9
1,24,"152025","2025","JuWsi",15,"OMW",5
1,24,"214021","4021","NaFor",21,"OHB",.3
1,24,"215012","5012","NaPgr",21,"OHB",.1
1,24,"235074","5074","JuNbu",23,"CLS",.1
1,25,"211004","1004","GrFrb",21,"OHB",35.7
1,25,"245013","5013","ArVth",24,"OLS",20
1,25,"235013","5013","ArVth",23,"CLS",26.9
1,25,"233004","3004","JuSwg",23,"CLS",.8
1,25,"113004","3004","JuSwg",11,"SIW",5.4
1,25,"142025","2025","JuWsi",14,"YMW",5.7
1,25,"152025","2025","JuWsi",15,"OMW",5
1,25,"214021","4021","NaFor",21,"OHB",.3
1,25,"215012","5012","NaPgr",21,"OHB",.1
1,25,"235074","5074","JuNbu",23,"CLS",.1
1,26,"211004","1004","GrFrb",21,"OHB",35
1,26,"245013","5013","ArVth",24,"OLS",20.4
1,26,"235013","5013","ArVth",23,"CLS",27.7
1,26,"233004","3004","JuSwg",23,"CLS",.9
1,26,"113004","3004","JuSwg",11,"SIW",4.9
1,26,"142025","2025","JuWsi",14,"YMW",5.6
1,26,"152025","2025","JuWsi",15,"OMW",5
1,26,"214021","4021","NaFor",21,"OHB",.3
1,26,"215012","5012","NaPgr",21,"OHB",.1
1,26,"235074","5074","JuNbu",23,"CLS",.1
1,27,"211004","1004","GrFrb",21,"OHB",36.7
1,27,"245013","5013","ArVth",24,"OLS",19.3
1,27,"235013","5013","ArVth",23,"CLS",28
1,27,"233004","3004","JuSwg",23,"CLS",.7
1,27,"113004","3004","JuSwg",11,"SIW",4.2
1,27,"142025","2025","JuWsi",14,"YMW",5.6
1,27,"152025","2025","JuWsi",15,"OMW",5
1,27,"214021","4021","NaFor",21,"OHB",.3
1,27,"215012","5012","NaPgr",21,"OHB",.1
1,27,"235074","5074","JuNbu",23,"CLS",.1
1,28,"211004","1004","GrFrb",21,"OHB",36.8
1,28,"245013","5013","ArVth",24,"OLS",18.8
1,28,"235013","5013","ArVth",23,"CLS",29.1
1,28,"233004","3004","JuSwg",23,"CLS",.6
1,28,"113004","3004","JuSwg",11,"SIW",3.6
1,28,"142025","2025","JuWsi",14,"YMW",5.6
1,28,"152025","2025","JuWsi",15,"OMW",5
1,28,"214021","4021","NaFor",21,"OHB",.3
1,28,"215012","5012","NaPgr",21,"OHB",.1
1,28,"235074","5074","JuNbu",23,"CLS",.1
1,29,"211004","1004","GrFrb",21,"OHB",36.9
1,29,"245013","5013","ArVth",24,"OLS",19.5
1,29,"235013","5013","ArVth",23,"CLS",28.9
1,29,"233004","3004","JuSwg",23,"CLS",.6
1,29,"113004","3004","JuSwg",11,"SIW",3
1,29,"142025","2025","JuWsi",14,"YMW",5.6
1,29,"152025","2025","JuWsi",15,"OMW",5
1,29,"214021","4021","NaFor",21,"OHB",.3
1,29,"215012","5012","NaPgr",21,"OHB",.1
1,29,"235074","5074","JuNbu",23,"CLS",.1
